 	app version: 9.0.24024 3/4/2024 18:36:20
	branch: 3 40 JVoIP 
	libconfig: sdk jvoip desktop webphone 
	sysenv process: cmd: false, headless: false, gui: true, standalone: false
	sysenv OS: name: Windows 11 , arch: amd64 , vers: 10.0 , patch: - , type: x64 
	sysenv CPU: little amd64  cpuspeed: 9000 (meassured: 0 0) cores: 16 dbg: 
	sysenv JVM: Eclipse Adoptium OpenJDK Runtime Environment 21.0.1 
	sysenv USR: ZA en Africa/Johannesburg phili  PHILIP-LAPTOP Philip-Laptop C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject 
	sysenv path: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject, datapath: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata, configfile: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata\u168wpcfg.dat, logfile: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata\webphonelog.dat, ext: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata\, alt: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata\, from: 4853  a C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject\mwphonedata\u168wpcfg.dat
	domain: C:, host: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject, url: C:\Users\phili\OneDrive - University of Johannesburg\BSc Computer Science\Year 3\Advanced Data Structured and Algorithms (CSC03A3)\MiniProject, lib: C:\jdk-21\bin
	toolkit: sun.awt.windows.WToolkit@6e162260
	sysenv charsrt: UTF-8
	deviceid: PE8NNaxi
 [wpmain] {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:061] EVENT,JVoIP init (from  0 loglevel is 5) [wpmain] {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:061] EVENT,      get parameter (from 10068) serveraddress_orig=127.0.0.1:5061 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:061] EVENT, upper server set0 to  /  /  {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,      get parameter (from 100111) serveraddress=127.0.0.1:5061 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,ipv inet: -1, ipv4: true, ipv6: true, preferipv: IPv4, listenipv6: false, cropscope: true, bindip:  {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,init thread MATASK_COMMONINIT2 60 {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,async task start MATASK_COMMONINIT2 (pb: false pi1: 0 pi2: 0 p1:  p2: ) {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,serveraddrlst2: a (170):  b: 127.0.0.1:5061 c:  d:  e:  f:  g:  h:  i:  j:  {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,      get parameter (from 10014) lasttransport=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,default system localhost: 172.22.0.1 {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:062] EVENT,temp primary local ip is: 172.22.0.1 {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,serveraddrlst12: a (102):  b: 127.0.0.1:5061 c:  d:  e:  f:  g:  h:  i:  j:  {matask_commoninit2 60} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) lasthttprecstreaming=8 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) proxyauthreqcount=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) plgoodcalls=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsswitchtotcp=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsnoudptry=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) lastaltporttousecfg=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsfailedudpport=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) lastaltportchangeday=-2 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) prevaltportused=0 {wmain 57} [inst: 2246]
[2024.05.13 23:56:34:063] EVENT,      get parameter (from 10014) subsdirectaccessfail=0 {wmain 57} [inst: 2246]
